Code,Name
COM/COPPER,"Copper,COMEX"
COM/POILAPSP_INDEX,"Crude Oil (petroleum), Price index, 2005 = 100, simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh"
COM/SOYB_OIL,"Soybean oil, crude; Central Illinois lb."
COM/COCOA,"Cocoa, ICE"
CHRIS/CME_NG1,"Natural Gas (Henry Hub) Physical Futures, Continuous Contract #1 (NG1) (Front Month), CME"
CHRIS/CME_CL1,"Crude Oil Futures, Continuous Contract, CME"
COM/ITRXEUC,Markit iTraxx Europe Crossover Index
COM/CORN_OIL,"Corn oil, crude wet/dry mill"
COM/AG_EFP,Engelhard fabricated products: Silver
COM/DTGAP,DTCC GCF Repo Index - Agency Total Par Value
COM/HIDES,Heavy Native Steer Hides
COM/HIDES_LB,"Steer Hides, Butt Brand/PC"
COM/SOYB_1,"Soybeans, No. 1 yellow Illinois, bu"
COM/WHEAT_14_5_MN,"Wheat, Spring 14.5%"
COM/BEEF_C,Beef - Choice 1
COM/POLVOIL_USD,"Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric ton"
COM/PSOYB_USD,"Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric ton"
COM/PORANG_USD,"Oranges, miscellaneous oranges CIF French import price, US$ per metric ton"
COM/PALUM_USD,"Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric ton"
COM/PFANDB_INDEX,"Food and Beverage Price Index, 2005 = 100, includes Food and Beverage Price Indices"
COM/PFISH_USD,"Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric ton"
COM/POILBRE_USD,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel"
COM/PALLFNF_INDEX,"All Commodity Price Index, 2005 = 100, includes both Fuel and Non-Fuel Price Indices"
COM/PLEAD_USD,"Lead, 99.97% pure, LME spot price, CIF European Ports, US$ per metric ton"
COM/PRICENPQ_USD,"Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric ton"
COM/PNGASJP_USD,"Natural Gas, Indonesian Liquefied Natural Gas in Japan, US$ per Million Metric British Thermal Unit"
COM/PSHRI_USD,"Shrimp, No.1 shell-on headless, 26-30 count per pound, Mexican origin, New York port, US$ per kilogram"
COM/PSUGAEEC_USD,"Sugar, European import price, CIF Europe, US cents per pound"
COM/COAL_POWD,"Powder River Basin 8,800 Btu, 0.8 SO2"
COM/PBANSOP_USD,"Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric ton"
COM/AU_LAM,Gold Price - London AM fixing
COM/SOYB_MEAL,"Soybean Meal, Cent. Ill., rail, ton 48%"
COM/CTNSD_MEAL,"Cottonseed meal, ton"
COM/AL_CMX,"Aluminum,COMEX"
COM/CHEESE_BRL,"Cheddar cheese, barrels, Chicago lb."
COM/AG_HHB,Handy  &  Harman base price
COM/AU_LPM,Gold Price - London PM Fixing
COM/WHEAT_KC,"Wheat, hard, KC, bu"
COM/PNGASUS_USD,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per Million Metric British Thermal Unit"
COM/PNGASEU_USD,"Natural Gas, Russian Natural Gas border price in Germany, US$ per Million Metric British Thermal Unit"
COM/POILDUB_USD,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel"
COM/PSUGAISA_USD,"Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound"
COM/PZINC_USD,"Zinc, high grade 98% pure, US$ per metric ton"
COM/PCOPP_USD,"Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric ton"
COM/PIORECR_USD,"China import Iron Ore Fines 62% FE spot (CFR Tianjin port), US dollars per metric ton"
COM/PRAWM_INDEX,"Agricultural Raw Materials Index, 2005 = 100, includes Timber, Cotton, Wool, Rubber, and Hides Price Indices"
COM/PCOFFROB_USD,"Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound"
COM/PNICK_USD,"Nickel, melting grade, LME spot price, CIF European ports, US$ per metric ton"
COM/PGNUTS_USD,"Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric ton"
COM/PCOALAU_USD,"Coal, Australian thermal coal, 12,000- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric ton"
COM/PHIDE_USD,"Hides, Heavy native steers, over 53 pounds, wholesale dealer's price, US, Chicago, fob Shipping Point, US cents per pound"
COM/PSOIL_USD,"Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric ton"
COM/PPORK_USD,"Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound."
COM/PFOOD_INDEX,"Food Price Index, 2005 = 100, includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices"
COM/PWHEAMT_USD,"Wheat, No.1 Hard Red Winter, ordinary protein, Kansas City, US$ per metric ton"
COM/PSUNO_USD,"Sunflower oil, Sunflower Oil, US export price from Gulf of Mexico, US$ per metric ton"
COM/PROIL_USD,"Rapeseed oil, crude, fob Rotterdam, US$ per metric ton"
COM/WOOL_62,"Wool, 62s, staple, Terr. delivery lb."
COM/DIESEL_ULS,"Diesel Fuel, 15 ppm S, NY harbor ultra"
COM/PL_EFP,Engelhard fabricated products: Platinum
COM/CORN_2,"Corn, No. 2 yellow. Cent. Ill. bu"
COM/COFFEE_CLMB,"Coffee, Colombian, NY lb."
COM/CORN_FEED,"Corn gluten feed, Midwest, ton"
COM/WOOL_60,"Wool, 60s, staple, Terr. delivery lb."
COM/AG_HHF,Silver Handy & Harman Base Price
COM/LCDX,Markit LCDX Index (Loan CDS)
COM/AU_EIB,Engelhard Industrial Bullion - Gold
COM/OIL_BRENT,"Crude Oil, Brent Blend, North Sea"
COM/WHEAT_2,"Wheat, No. 2 soft red, St.Louis, bushel"
COM/AU_EGL,"Gold American Eagle, Spot Price"
COM/AU_PHL,Gold Vienna Philharmonics
COM/CHKN_A,"Broilers, dressed 'A'; per lb."
COM/PSMEA_USD,"Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric ton"
COM/LM_PK602_LOIN,USDA LM_PK602: Pork Loin
COM/SORGHUM,No. 2 Grain Sorghum: Texas Gulf
COM/BRAN,"Bran, wheat middlings, Kn. City by Rail; $ per ton"
COM/DTGRT,DTCC GCF Repo Index - Treasury Weighted Average
COM/PSAWORE_USD,"Soft Sawnwood, average export price of Douglas Fir, U.S. Price, US$ per cubic meter"
COM/LM_PK602_AI,USDA LM_PK602: Pork Added Ingreds
COM/LM_PK602_BUTT,USDA LM_PK602: Pork Butt
COM/PTIN_USD,"Tin, standard grade, LME spot price, US$ per metric ton"
COM/PURAN_USD,"Uranium, NUEXCO, Restricted Price, Nuexco exchange spot, US$ per pound"
COM/BONE_MEAL,"Meat and Bone Meal, 50%"
COM/WOOL_60_62,"Wool, 60-62s, staple, Terr. delivery lb."
COM/WHEAT_15_MN,"Wheat, Spring 15%"
COM/CHKN_NTL,Broilers - National comp weighted avg
COM/AL_LME,"Aluminum, LME, $ per metric ton"
COM/DTGMA,DTCC GCF Repo Index - MBS Weighted Average
COM/GREASE,"Grease, choice white, Chicago / lb."
COM/PBEVE_INDEX,"Beverage Price Index, 2005 = 100, includes Coffee, Tea, and Cocoa"
COM/PRUBB_USD,"Rubber, Singapore Commodity Exchange, No. 3 Rubber Smoked Sheets, 1st contract, US cents per pound"
COM/PSAWMAL_USD,"Hard Sawnwood, Dark Red Meranti, select and better quality, C&F U.K port, US$ per cubic meter"
COM/PBARL_USD,"Barley, Canadian no.1 Western Barley, spot price, US$ per metric ton"
COM/LM_PK602_PICNIC,USDA LM_PK602: Pork Picnic
COM/LM_PK602_HAM,USDA LM_PK602: Pork Ham
COM/PA_EFP,"Palladium, Engelhard fabricated products"
COM/PPOIL_USD,"Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric ton"
COM/BEEF_S,Beef - Select 1
COM/PL_EIB,"Platinum, Engelhard industrial bullion"
COM/AG_EIB,Engelhard industrial bullion - Silver
COM/PNFUEL_INDEX,"Non-Fuel Price Index, 2005 = 100, includes Food and Beverages and Industrial Inputs Price Indices"
COM/BUTTER,"Butter, AA Chicago, lb"
COM/PBEEF_USD,"Beef, Australian and New Zealand 85% lean fores, CIF U.S. import price, US cents per pound"
COM/LM_PK602_BELLY,USDA LM_PK602: Pork Belly
COM/PSALM_USD,"Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram"
COM/WHEAT_1,"Wheat, No. 1 soft white, del Portland, Ore"
COM/FEDFU,U.S. Federal Funds Effective Rate
COM/PCOFFOTM_USD,"Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound"
COM/COTLOOK,Cotlook 'A' Index
COM/COFFEE_BRZL,"Coffee, Brazilian, Comp."
COM/AU_ZAR,"Gold Kruggerand, Spot Price"
COM/TALLOW_B,"Tallow, bleachable; Chicago / lb."
COM/PCOTTIND_USD,"Cotton, Cotton Outlook 'A Index', Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound"
